title,Title,Genre,keywords,tagline,Description,runtime,release_date,homepage,original_language,spoken_languages,production_countries,production_companies,budget,revenue,vote_count,Rating
Firestorm,風暴,"Action, Crime","robbery, street war, gun battle, rogue cop",,"A crew of seasoned criminals led by the notorious Nam, armed with high-powered weapons, pulls off another smooth and violent armored car heist in broad daylight in a crowded street. Whoever tries to get in their way, they will show no mercy. This puts the police force to shame and humiliation. A hardboiled senior police inspector Lui, hot on the trails of Nam and his tight crew, determines to put an end to this madness that causes the lives of innocent people. But he soon comes face to face with the cruel reality that the usual police tactics are too futile to send these armed thieves behind bars. Extreme crime requires extreme justice, even if it means crossing his moral line. Tou, an ex-con desperate to leave his criminal past behind, volunteers to be Lui’s snitch in exchange for a fresh start with her girlfriend Bing. But little does he know what hellish situation he’s getting himself into.",110,12/12/2013,,zh,"普通话, 广州话 / 廣州話","Hong Kong, China","Focus Films, Sil-Metropole Organisation, Edko Films",0,0,43,5.9
The Bounty,The Bounty,"Action, Drama, History","female nudity, exotic island, mutiny, lake, nudity, sailing, ship, adventure, tahiti, murder, pregnancy, great barrier reef, sailor, native peoples, storm at sea, whipping, british sailor, based on true events, fiji","After 200 years, the truth behind the legend.","The familiar story of Lieutenant Bligh, whose cruelty leads to a mutiny on his ship. This version follows both the efforts of Fletcher Christian to get his men beyond the reach of British retribution, and the epic voyage of Lieutenant Bligh to get his loyalists safely to East Timor in a tiny lifeboat.",132,04/05/1984,,en,English,"United States of America, United Kingdom",Dino De Laurentiis Company,25000000,8613462,108,6.5
The Book Thief,The Book Thief,Drama,"world war ii, book, nazi germany, jewish",Courage beyond words.,"While subjected to the horrors of WWII Germany, young Liesel finds solace by stealing books and sharing them with others. Under the stairs in her home, a Jewish refuge is being sheltered by her adoptive parents.",131,08/11/2013,http://www.thebookthief.com/,en,"English, Deutsch","Germany, United States of America","Studio Babelsberg, Fox 2000 Pictures, Sunswept Entertainment",0,76586316,1486,7.4
Sex Drive,Sex Drive,"Comedy, Adventure, Romance","sex, jealousy, virgin, nudity, community, friendship, high school, road trip, friends, romance, redneck, loss of virginity, hitchhiker, teen movie, boyfriend, pickup, knoxville",He's leaving virgin territory,A high school senior drives cross-country with his best friends to hook up with a babe he met online.,109,16/10/2008,http://www.sexdrivethemovie.com/,en,English,United States of America,"Summit Entertainment, LLC, Alloy Entertainment, Goldcrest Pictures",19000000,18755936,342,6
Leap Year,Leap Year,"Romance, Comedy","taxi, bar, wales, marriage proposal, airplane, pub, cow, wedding ring, wedding, proposal, cardiologist, ireland, cliffs",Anna planned to propose to her boyfriend on February 29th. This is not her boyfriend.,"When yet another anniversary passes without a marriage proposal from her boyfriend, Anna decides to take action. Aware of a Celtic tradition that allows women to pop the question on Feb. 29, she plans to follow her lover to Dublin and ask him to marry her. Fate has other plans, however, and Anna winds up on the other side of the Emerald Isle with handsome, but surly, Declan -- an Irishman who may just lead Anna down the road to true love.",100,08/01/2010,http://www.leapyearfilm.net,en,English,"Ireland, United States of America","Universal Pictures, Spyglass Entertainment, Octagon Films, BenderSpink, Birnbaum / Barber Productions",19000000,29922472,465,6.4
The Fall of the Roman Empire,The Fall of the Roman Empire,"Drama, History","roman empire, ancient rome",The Most Magnificent Re-Creation . . . Of An Ancient Empire . . . Launches A New Epoch In Motion Pictures . . .,"Drawn from the same events that later inspired Gladiator, the film charts the power-hungry greed and father-son betrayal that led to Rome's collapse at the bloody hands of the Barbarians.",188,24/03/1964,,en,English,United States of America,"Paramount Pictures, Samuel Bronston Productions",19000000,4750000,33,6
Take Me Home Tonight,Take Me Home Tonight,"Comedy, Drama, Romance","becoming an adult, lie, night, sister, job, party, friends, deception, best friend",Best. Night. Ever.,"Recent MIT grad Matt Franklin (Topher Grace) should be well on his way to a successful career at a Fortune 500 company, but instead, he rebels against maturity by taking a job at a video store. Matt rethinks his position when his unrequited high-school crush, Tori (Teresa Palmer), walks in and invites him to an end-of-summer party. With the help of his twin sister (Anna Faris) and his best friend (Dan Fogler), Matt hatches a plan to change the course of his life.",97,04/03/2011,http://www.iamrogue.com/takemehometonight/fullsite/,en,English,"United States of America, Germany","Imagine Entertainment, Rogue Pictures, Relativity Media, Internationale Filmproduktion Blackbird Dritte",19000000,6928068,208,6.2
Won't Back Down,Won't Back Down,Drama,based on true story,If you can't beat the system... change it,"Two determined mothers­, one a teacher, look to transform their children's failing inner city school. Facing a powerful and entrenched bureaucracy, they risk everything to make a difference in the education and future of their children",121,28/09/2012,,en,English,United States of America,"Gran Via Productions, Walden Media, Lemodeln Model & Talent Agency",0,5310554,40,5.8
The Nutcracker,The Nutcracker,"Family, Fantasy, Music",ballet,The joy of the New York City Ballet in an exciting family holiday motion picture.,"On Christmas Eve, a little girl named Marie (Cohen) falls asleep after a party at her home and dreams herself into a fantastic world where toys become larger than life. She meets up with the Nutcracker Prince (Culkin) who defends her from the Mouse King.",93,24/11/1993,,en,English,United States of America,Warner Bros. Family Entertainment,19000000,2119994,5,5.6
Kansas City,Kansas City,"Thriller, Drama, Music, Crime","politician, kansas city, election, jazz music","Kansas City, 1934. Anything could happen here. One night it did.","Robert Altman's story is a riff on race, class, and power cross-cuts between the two kidnappings and the background of corrupt politics and virtuoso jazz music. It all takes place in Kansas City in 1934.",116,16/08/1996,,en,English,United States of America,"Fine Line Features, CiBy 2000, Sandcastle 5 Productions",18000000,0,12,6.1
Indignation,Indignation,Drama,"based on novel, jewish life, ohio, 1950s",Based on the novel by Philip Roth.,"In 1951, Marcus Messner, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with anti-Semitism, sexual repression, and the ongoing Korean War.",110,29/07/2016,,en,English,United States of America,Likely Story,0,0,69,6.8
The Amityville Horror,The Amityville Horror,"Horror, Thriller, Drama","holy water, long island, remake, family dinner, paranormal, violence, wood chopping, backwards, tortured to death, moving in, based on supposedly true story",What happened over the next 28 days has never been explained.,A family is terrorized by demonic forces after moving into a home that was the site of a grisly mass-murder.,90,15/04/2005,,en,English,United States of America,"Platinum Dunes, Dimension Films, Metro-Goldwyn-Mayer (MGM), Radar Pictures",19000000,108047131,588,6
Adaptation.,Adaptation.,"Comedy, Crime, Drama","alligator, marriage crisis, writer's block, orchid","From the creator of Being John Malkovich, comes the story about the creator of Being John Malkovich.",A love-lorn script writer grows increasingly desperate in his quest to adapt the book 'The Orchid Thief'.,114,06/12/2002,http://www.sonypictures.com/homevideo/adaptation/index.html,en,"English, Latin",United States of America,"Beverly Detroit, Propaganda Films, Clinica Estetico, Intermedia, Good Machine, Magnet Productions",19000000,32801173,638,7.3
Land of the Dead,Land of the Dead,Horror,"cage, dystopia, survivor, zombie, zombie apocalypse",The dead shall inherit the Earth.,"The world is full of zombies and the survivors have barricaded themselves inside a walled city to keep out the living dead. As the wealthy hide out in skyscrapers and chaos rules the streets, the rest of the survivors must find a way to stop the evolving zombies from breaking into the city.",93,24/06/2005,,en,"English, Français, Italiano, Polski, Español","Canada, France, United States of America","Universal Pictures, Atmosphere Entertainment MM, Romero-Grunwald Productions, Exception Wild Bunch",15000000,46770602,381,6
Out of Inferno,逃出生天,Action,,,"On the hottest day in 50 years, a serious fire incident happened to a busy commercial tower, a gaggle of fire fighters with an indestructible enthusiasm are going to save lives.",107,10/03/2013,,cn,广州话 / 廣州話,"Hong Kong, China","Sun Entertainment Culture, Universe Entertainment",0,0,11,5.8
Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,"Adventure, Drama, Comedy","gonzo journalist, sweaty face, fake identity, wedding chapel, grapefruit, cadillac convertible, gibberish, corvette stingray, police convention","Buy the ticket, take the ride.","The hallucinogenic misadventures of sportswriter Raoul Duke and his Samoan lawyer, Dr. Gonzo, on a three-day romp from Los Angeles to Las Vegas. Motoring across the Mojave Desert on the way to Sin City, Duke and his purple haze passenger ingest a cornucopia of drugs ranging from acid to ether.",118,22/05/1998,,en,English,United States of America,"Universal Pictures, Summit Entertainment, Rhino Films, Fear and Loathing LLC, Shark Productions",18500000,10680275,1301,7.2
The Invention of Lying,The Invention of Lying,"Comedy, Romance, Fantasy",,In a world where everyone can only tell the truth... This guy can lie.,"Set in a world where the concept of lying doesn't exist, a loser changes his lot when he invents lying and uses it to get ahead.",100,13/09/2009,http://the-invention-of-lying.warnerbros.com/,en,"English, Português",United States of America,"Media Rights Capital, Lin Pictures, Warner Bros., Wintergreen Productions, Lynda Obst Productions, 1821 Pictures, Radar Pictures",18500000,31912793,518,6
Neighbors,Neighbors,Comedy,"alcohol, baby, party, family, fraternity, fraternity house, neighbor neighbor relationship, bathroom humor",Family vs. Frat,A couple with a newborn baby face unexpected difficulties after they are forced to live next to a fraternity house.,96,08/05/2014,,en,English,United States of America,"Universal Pictures, Point Grey Pictures, Good Universe",18000000,268157400,2713,6.2
The Mask,The Mask,"Romance, Comedy, Crime, Fantasy","dual identity, bank, mockery, green, balloon, jail cell, norse mythology",From zero to hero.,"When timid bank clerk Stanley Ipkiss discovers a magical mask containing the spirit of the Norse god Loki, his entire life changes. While wearing the mask, Ipkiss becomes a supernatural playboy exuding charm and confidence which allows him to catch the eye of local nightclub singer Tina Carlyle. Unfortunately, under the mask's influence, Ipkiss also robs a bank, which angers junior crime lord Dorian Tyrell, whose goons get blamed for the heist.",101,29/07/1994,,en,"svenska, English",United States of America,"New Line Cinema, Dark Horse Entertainment",23000000,351583407,2472,6.6
Big,Big,"Fantasy, Drama, Comedy, Romance, Family","baseball, co-worker, bronx, pinball machine, toy maker, duet, job promotion, homesick, new toy, quarter, unplugged electronic works, yankee stadium bronx new york city, walking on piano keys, wish fulfillment, bunk bed, woman director",You're Only Young Once But For Josh It Might Just Last A Lifetime.,"A young boy, Josh Baskin makes a wish at a carnival machine to be big. He wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman. What will he find out about this strange world?",104,03/06/1988,,en,English,United States of America,"Gracie Films, Twentieth Century Fox Film Corporation, American Entertainment Partners II L.P.",18000000,151668774,993,6.9
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,"male nudity, usa, california, prostitute, journalist, rodeo, kazakhstan, demeanor course, chicken, driving school, anti semitism, bear, mockumentary, reporter, aftercreditsstinger, duringcreditsstinger","Come to Kazakhstan, it's nice!","Kazakh journalist Borat Sagdiyev travels to America to make a documentary. As he zigzags across the nation, Borat meets real people in real situations with hysterical consequences. His backwards behavior generates strong reactions around him exposing prejudices and hypocrisies in American culture.",82,01/11/2006,http://www.boratmovie.com/,en,"English, עִבְרִית, қазақ",United States of America,"Twentieth Century Fox Film Corporation, Four By Two Productions",18000000,261572744,1579,6.5
Legally Blonde,Legally Blonde,Comedy,"harvard law school, black female judge, smart blonde, girl power",Don't judge a book by its hair color!,"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner from popping the question: Elle is too blonde.",96,13/07/2001,,en,English,United States of America,"Marc Platt Productions, Metro-Goldwyn-Mayer (MGM)",18000000,141774679,882,6.1
Star Trek III: The Search for Spock,Star Trek III: The Search for Spock,"Science Fiction, Action, Adventure, Thriller",,A dying planet. A fight for life.,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.,105,31/05/1984,,en,"English, Pусский",United States of America,Paramount Pictures,18000000,87000000,434,6.4
The Exorcism of Emily Rose,The Exorcism of Emily Rose,"Crime, Drama, Horror, Thriller","epilepsy, possession, teenage girl, spirit, umbrella, cross, prosecutor, catholicism, negligent homicide, archdiocese, agnostic, malnutrition, burning, psychotic epileptic disorder",What happened to Emily?,"When a younger girl called Emily Rose (Carpenter) dies, everyone puts blame on the exorcism which was performed on her by Father Moore (Wilkinson) prior to her death. The priest is arrested on suspicion of murder. The trail begins with lawyer Erin Bruner (Linney) representing Moore, but it is not going to be easy, as no one wants to believe what Father Moore says is true.",122,09/09/2005,,en,English,United States of America,"Lakeshore Entertainment, Firm Films, Screen Gems",19000000,144216468,659,6.3
Deuce Bigalow: Male Gigolo,Deuce Bigalow: Male Gigolo,Comedy,"fish, aquarium, carnival, house, callboy, vacation, illegal prostitution",He charges $10 but he’s willing to negotiate.,"Deuce Bigalow is a less than attractive, down on his luck aquarium cleaner. One day he wrecks the house of a gigolo and needs quick money to repair it. The only way he can make it is to become a gigolo himself, taking on an unusual mix of female clients. He encounters a couple of problems, though. He falls in love with one of his unusual clients, and a sleazy police officer is hot on his trail.",88,10/12/1999,,en,English,United States of America,"Happy Madison Productions, Quinta Communications, Touchstone Pictures",17000000,65535067,308,5.5
Left Behind,Left Behind,"Thriller, Action, Science Fiction","airplane, the rapture, remake, pilot hero",The End Begins,A small group of survivors are left behind after millions of people suddenly vanish during the rapture and the world is plunged into chaos and destruction.,110,03/10/2014,http://www.leftbehindmovie.com/,en,English,United States of America,Stoney Lake Entertainment,16000000,19682924,392,3.7
The Family Stone,The Family Stone,"Comedy, Drama, Romance","holiday, christmas",Feel The Love,"An uptight, conservative, businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life.",103,14/12/2005,,en,English,United States of America,Fox 2000 Pictures,0,0,249,6.2
Barbershop 2:  Back in Business,Barbershop 2:  Back in Business,"Comedy, Drama",blaxploitation,Let your hair down,"The continuing adventures of the barbers at Calvin's Barbershop. Gina, a stylist at the beauty shop next door, is now trying to cut in on his buisness. Calvin is again struggling to keep his father's shop and traditions alive--this time against urban developers looking to replace mom &amp; pop establishments with name-brand chains. The world changes, but some things never go out of style--from current events and politics to relationships and love, you can still say anything you want at the barbershop.",106,20/01/2004,,en,English,United States of America,Metro-Goldwyn-Mayer (MGM),18000000,65070412,74,5.6
Bad Santa,Bad Santa,"Drama, Comedy, Crime","holiday, elves, christmas party, department store, safe, drink, little people, christmas eve, christmas",He doesn't care if you're naughty or nice.,"A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid, and the security boss discovers the plot.",91,26/11/2003,http://www.miramax.com/movie/bad-santa,en,English,"Germany, United States of America","Columbia Pictures, Triptych Pictures, Dimension Films (US version)",23000000,76488889,656,6.5
Austin Powers: International Man of Mystery,Austin Powers: International Man of Mystery,"Science Fiction, Comedy, Crime","android, undercover, missile, group therapy, airplane, dancing scene, time travel, penthouse apartment, judo, trapdoor, clowning, telescope, swinging, james bond spoof, swinging 60s, aftercreditsstinger, duringcreditsstinger","If he were any cooler, he'd still be frozen, baby!","As a swingin' fashion photographer by day and a groovy British superagent by night, Austin Powers is the '60s' most shagadelic spy, baby! But can he stop megalomaniac Dr. Evil after the bald villain freezes himself and unthaws in the '90s? With the help of sexy sidekick Vanessa Kensington, he just might.",94,02/05/1997,,en,English,"Germany, United States of America","New Line Cinema, Capella International, Eric's Boy",16500000,67683989,1013,6.5
My Big Fat Greek Wedding 2,My Big Fat Greek Wedding 2,"Romance, Comedy, Family","comedy, wedding",People change. Greeks don't.,"The continuing adventures of the Portokalos family. A follow-up to the 2002 comedy, ""My Big Fat Greek Wedding.""",94,23/03/2016,,en,English,"Canada, United States of America","Universal Pictures, Playtone, HBO Films, Gold Circle Films",18000000,88923251,322,5.5
Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid: Rodrick Rules,"Family, Comedy","based on novel, middle school",Welcome to the next grade,"Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.",99,25/03/2011,http://www.diaryofawimpykidmovie.com/,en,English,United States of America,"Fox 2000 Pictures, Color Force",21000000,72417394,238,6.3
Predator,Predator,"Science Fiction, Action, Adventure, Thriller","central and south america, predator, alien, stalking, invisible, commando, 3d","If it bleeds, we can kill it...","Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.",107,11/06/1987,,en,"English, Español",United States of America,"Twentieth Century Fox Film Corporation, Lawrence Gordon Productions, Davis Entertainment, Silver Pictures, Amercent Films, American Entertainment Partners L.P.",18000000,98235548,2093,7.3
Amadeus,Amadeus,"Drama, History, Music","italy, composer, opera, talent, musician, marriage crisis, god, murder, vienna austria, envy, 18th century",...Everything you've heard is true,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri – now confined to an insane asylum.",160,26/10/1984,,en,"English, Deutsch, Italiano, Latin",United States of America,Warner Bros.,18000000,51973029,1076,7.8
Prom Night,Prom Night,"Crime, Horror","aunt, remake, blood on shirt, slasher, death of family, masturbation, kicked in the face, renovation, black stereotype, chest",A Night To Die For.,"Donna's senior prom is supposed to be the best night of her life, though a sadistic killer from her past has different plans for her and her friends.",88,10/04/2008,http://www.sonypictures.com/movies/promnight/,en,"Italiano, English",United States of America,Alliance Films,0,14796236,167,4.8
Mean Girls,Mean Girls,Comedy,"female friendship, high school, fish out of water, best friend, teenager, popularity, gossip, teen comedy, high school rivalry, new girl at school",Welcome to girl world.,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",97,30/04/2004,http://www.meangirls.com/,en,"Kiswahili, English, Deutsch, Tiếng Việt",United States of America,"Paramount Pictures, Broadway Video, M.G. Films",17000000,129042871,2320,6.9
Under the Tuscan Sun,Under the Tuscan Sun,"Comedy, Drama, Romance","depression, toscana, recreation, author, divorce, woman director",Life offers you a thousand chances ... all you have to do is take one.,"After a rough divoce, Frances, a 35 year old book editor from San Francisco takes a tour of Tuscany at the urgings of her friends. On a whim she buys Bramasole, a run down villa in the Tuscan countryside and begins to piece her life together starting with the villa and finds that life sometimes has unexpected ways of giving her everything she wanted.",113,30/04/2003,,en,"Český, English, Français, Deutsch, Italiano, Polski, Español","Italy, United States of America","Timnick Films, Blue Gardenia Productions, Touchstone Pictures, Tatiale Films",0,0,172,6.4
Gosford Park,Gosford Park,"Drama, Mystery, Thriller","servant, money, shooting party",Tea at four. Dinner at eight. Murder at midnight.,"Multiple storylined drama set in 1932, showing the lives of upstairs guest and downstairs servants at a party in a country house in England.",137,07/11/2001,,en,English,"Germany, United Kingdom, United States of America",USA Films,19800000,87754044,246,6.8
Peggy Sue Got Married,Peggy Sue Got Married,"Comedy, Drama, Fantasy, Romance","time travel, high school reunion","Knowing what you know now, what would you do differently?","Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.",103,05/10/1986,,en,English,United States of America,"American Zoetrope, TriStar Pictures",18000000,41382841,136,5.9
Birdman,Birdman,"Drama, Comedy","times square, superhero, long take, new york city, play, broadway, actor",or (The Unexpected Virtue of Ignorance),"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",119,27/08/2014,,en,English,United States of America,"Worldview Entertainment, New Regency Pictures, TSG Entertainment, Le Grisbi Productions, M Productions",18000000,103215094,4535,7.4
Blue Jasmine,Blue Jasmine,"Comedy, Drama","san francisco, sister sister relationship, new york city, rich, narcissism, xanax",Blue Moon. I used to know the words. Now they're all a jumble.,"Jasmine French used to be on the top of the heap as a New York socialite, but now is returning to her estranged sister in San Francisco utterly ruined. As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored, she tries to recover in her present. Unfortunately, it all proves a losing battle as Jasmine's narcissistic hangups and their consequences begin to overwhelm her. In doing so, her old pretensions and new deceits begin to foul up everyone's lives, especially her own.",98,25/07/2013,,en,English,United States of America,Perdido Productions,18000000,99206215,1098,7
United 93,United 93,"Drama, History, Crime, Thriller, Action","airplane, hijacking, terror cell, emergency landing, war on terror","September 11, 2001. Four planes were hijacked. Three of them reached their target. This is the story of the fourth.","A real time account of the events on United Flight 93, one of the planes hijacked on 9/11 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot.",111,28/04/2006,,en,"English, العربية, Deutsch","France, United Kingdom, United States of America","Universal Pictures, StudioCanal, Sidney Kimmel Entertainment, Working Title Films",15000000,76286096,367,6.9
Honey,Honey,"Romance, Music, Family","new york, dancing, hip-hop, dream, dance, blackmail, harassment, career, video, teacher, business, sabotage, choreographer, club, harlem, youth center",Her dream. Her terms,"Honey Daniels (Jessica Alba) dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director (David Moscow) who casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life.",94,24/11/2003,,en,English,United States of America,"Universal Pictures, Marc Platt Productions, NuAmerica Entertainment",18000000,62646763,303,6
Spy Hard,Spy Hard,"Action, Comedy","atomic bomb, spoof, james bond spoof",All the action. All the women. Half the intelligence.,"The evil Gen. Rancor has his sights set on world domination, and only one man can stop him: Dick Steele, also known as Agent WD-40. Rancor needs to obtain a computer circuit for the missile that he is planning to fire, so Steele teams up with Veronique Ukrinsky, a KGB agent whose father designed the chip. Together they try to locate the evil mastermind's headquarters, where Veronique's father and several other hostages are being held.",81,24/05/1996,,en,English,United States of America,Hollywood Pictures,18000000,0,147,4.9
The Fog,The Fog,Horror,"prophecy, sea, beach, gold, small town, beheading, sword, narration, fog, leprosy, ship, lighthouse, church",Lock your doors. Bolt your windows. There's something in THE FOG!,"Strange things begin to occurs as a tiny California coastal town prepares to commemorate its centenary. Inanimate objects spring eerily to life; Rev. Malone stumbles upon a dark secret about the town's founding; radio announcer Stevie witnesses a mystical fire; and hitchhiker Elizabeth discovers the mutilated corpse of a fisherman. Then a mysterious iridescent fog descends upon the village, and more people start to die.",89,08/02/1980,http://www.theofficialjohncarpenter.com/the-fog/,en,English,United States of America,"AVCO Embassy Pictures, EDI, Debra Hill Productions",1000000,21378361,311,6.4
Soul Surfer,Soul Surfer,"Action, Drama","competition, based on novel, shark attack, surfing, biography, sport, duringcreditsstinger","When you come back from a loss, beat the odds, and never say never, you find a champion.","Soul Surfer is the inspiring true story of teen surfer Bethany Hamilton. Bethany lost her left arm in a shark attack and courageously overcame all odds to become a champion again, through her sheer determination and unwavering faith.Bethany (AnnaSophia Robb) was born to surf. A natural talent who took to the waves at a young age, she was leading an idyllic life on Kauai, participating in national surf competitions with her best friend Alana (Lorraine Nicholson), when everything changed. On Halloween morning, a 14-foot tiger shark came out of nowhere and seemed to shatter all her dreams.Soul Surfer reveals Bethany's fight to recover from her ordeal and how she grappled with the question of her future. Strengthened by the love of her parents, Tom (Dennis Quaid) and Cheri (Helen Hunt), and supported by her youth group leader Sara (Carrie Underwood), Bethany refuses to give in or give up, and begins a bold return to the water.",106,08/04/2011,http://www.soulsurferthemovie.com/,en,English,United States of America,"Mandalay Pictures, TriStar Pictures, Brookwell-McNamara Entertainment, FilmDistrict, Affirm Films",18000000,47088990,342,6.9
Catch-22,Catch-22,"War, Comedy, Drama","world war ii, island, bomber, pianosa, american",,"A bombardier in World War II tries desperately to escape the insanity of the war. However, sometimes insanity is the only sane way to cope with a crazy situation. Catch-22 is a parody of a ""military mentality"" and of a bureaucratic society in general.",121,24/06/1970,,en,"English, Italiano",United States of America,"Paramount Pictures, Filmways Productions",18000000,24911670,72,6.7
Observe and Report,Observe and Report,"Comedy, Crime, Drama","robbery, unrequited love, security guard, mall","Right now, the world needs a hero.","Bi-polar mall security guard Ronnie Barnhardt is called into action to stop a flasher from turning shopper's paradise into his personal peep show. But when Barnhardt can't bring the culprit to justice, a surly police detective, is recruited to close the case.",86,10/04/2009,,en,English,United States of America,"Legendary Pictures, De Line Pictures",0,24007324,225,5.6
Conan the Destroyer,Conan the Destroyer,"Adventure, Fantasy, Action","swordplay, sword, magic, warrior woman, lone wolf, wizardry, royalty, barbarian, sword and sorcery",The most powerful legend of all is back in a new adventure.,"Based on a character created by Robert E. Howard, this fast-paced, occasionally humorous sequel to Conan the Barbarian features the hero (Arnold Schwarzenegger) as he is commissioned by the evil queen Taramis (Sarah Douglas) to safely escort a teen princess (Olivia D'Abo) and her powerful bodyguard (Wilt Chamberlain) to a far away castle to retrieve the magic Horn of Dagon. Unknown to Conan, the queen plans to sacrifice the princess when she returns and inherit her kingdom after the bodyguard kills Conan. The queen's plans fail to take into consideration Conan's strength and cunning and the abilities of his sidekicks: the eccentric wizard Akiro (Mako), the wild woman Zula (Grace Jones), and the inept Malak (Tracey Walter). Together the hero and his allies must defeat both mortal and supernatural foes in this voyage to sword-and-sorcery land.",103,29/06/1984,,en,English,United States of America,De Laurentiis Entertainment Group,18000000,100000000,383,5.8
Raging Bull,Raging Bull,Drama,"transporter, jealousy, violent husband, paranoia, boxer, biography, fistfight, broken nose, sport, domestic violence, extreme violence, over-the-hill fighter",,"When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.",129,14/11/1980,,en,English,United States of America,United Artists,18000000,23000000,938,7.7
Love Happens,Love Happens,"Drama, Romance","hotel, florist, forest, grief, seminar, motivational speaker",Sometimes when you least expect it...,"Dr. Burke Ryan is a successful self-help author and motivational speaker with a secret. While he helps thousands of people cope with tragedy and personal loss, he secretly is unable to overcome the death of his late wife. It's not until Burke meets a fiercely independent florist named Eloise that he is forced to face his past and overcome his demons.",109,18/09/2009,http://www.lovehappensmovie.com,en,English,"Canada, United Kingdom, United States of America","Universal Pictures, Stuber Productions, Camp / Thompson Pictures, Relativity Media, Scion Films, Traveling Film Productions",18000000,36133014,180,5.6
Young Sherlock Holmes,Young Sherlock Holmes,"Action, Adventure, Crime, Drama, Family, Mystery, Thriller","london england, school friend, religion and supernatural, sherlock holmes, murder, aftercreditsstinger","Before a lifetime of adventure, they lived the adventure of a lifetime.","Sherlock Holmes and Dr. Watson meet as boys in an English Boarding school. Holmes is known for his deductive ability even as a youth, amazing his classmates with his abilities. When they discover a plot to murder a series of British business men by an Egyptian cult, they move to stop it.",109,04/12/1985,,en,English,United States of America,"Paramount Pictures, Amblin Entertainment",18000000,0,167,6.7
Fame,Fame,"Music, Comedy, Drama, Romance","musical, duringcreditsstinger",,"An updated version of the 1980 musical, which centered on the students of the New York Academy of Performing Arts.",107,01/01/2009,,en,English,United States of America,"United Artists, Lakeshore Entertainment, Metro-Goldwyn-Mayer (MGM)",0,0,135,5.5
127 Hours,127 Hours,"Adventure, Drama, Thriller","mountains, despair, adventure, utah, alone, canyon, climbing, based on true story, rescue, survival, escape, true, trapped, boulder, adventurer, flashback, climber, isolated, hikers, very little dialogue",There is no force more powerful than the will to live.,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,94,05/11/2010,,en,English,"United Kingdom, United States of America","Fox Searchlight Pictures, Warner Bros., Cloud Eight Films, Pathé, Film4, Everest Entertainment, HandMade Films",18000000,35692920,2606,7
